小美人鱼2
你是我的世界  You are my world
不 不 往东到…  No, no, um, east to...
我的地图… 都毁了  My map. It's ruined.
现在要怎么找 去亚特兰提卡的路  Now how am I gonna find my way to Atlantica?
快来人帮忙 救命啊  Help Someone, please
宝宝 撑着点 我们会来救你的  Help Oh Oh, hold on, sweetie We'll save you
救命啊 妈妈 快啊  Help Mama Hurry
我还是抓不到她  I can't reach her.
快来人救救我们  Somebody help us
比飓风更有力量 比杀人鲸更勇敢  Mightier than a hurricane Braver than a killer whale
比海鳗更迅速  Faster than a moray eel
这是大无畏又爱冒险的  It's the fearless adventurers...
双人探险家  Slash  explorers.
冲锋迪普 和他忠心的助手戴许  Titanic Tip and his trusty sidekick Dash
完了     怎么又是他们  Oh, no.     Not them.
机会来了 快赎罪吧  This is it, Dash. Redemption.
不要那只海象啊  No, not the walrus.
抱歉 对不起     喔  Sorry. Excuse me.     Ow
那是你的脸吗  Oh, was that your face?
我们这一下真的要当英雄了  We're finally gonna be heroes for real.
对啊 他们再也不会嘲笑我们了  Yeah, they're not gonna laugh at us any more.
这太简单了  This is too easy.
好 一 然后 二  And a  one, and a  two,
然后… 鲨鱼  and a shark...
鲨鱼？     鲨鱼  Shark?     Shark
鲨鱼 鲨鱼 鲨鱼     借过一下  Shark, shark, shark     Coming through
上来 上来 上来     下去  Going up, going up, going up     Going down.
借过…  Get off me
也没那么糟嘛  Well, that wasn't so bad.
妈妈     唔  Mama     Mmm
又完美的… 执行了一个计划  Another plan perfectly executed.
你们两个到底在干什么  What did you think you were doing?
我们只想当英雄  We were just trying to be heroes.
你们抛着我的宝贝玩 这叫作当英雄  You call abandoning my baby heroic?
你知不知道 你们差一点害死我们大家  You two boys almost got us all killed.
对嘛 什么大无畏的英雄  Oh, yeah, some fearless heroes.
我看是狗熊  More like zeroes
说得好  That's a good one
尽量笑… 最好笑掉你们的黑礼服  Go ahead. Laugh your stinking tuxedos off.
早晚… 要你们好看  We'll show you, someday.
对不起     啊  Excuse me.     Ahh
你们两个不要怕我 我不会伤害你们的  You don't have to be scared of me. I won't hurt you.
怕你？有谁我说在害怕来着？  Scared? Who said anything about being scared?
你难道还不了解 逃避这种战术吗？  Don't you know an evasive manoeuvre when you see one?
